Id_projecte,Nom_projecte,Id_startup,Nom_startup,Sector,Territori,Any_creació,Ocupació_T0,Objectiu_startup,Input_clau,Output_clau,Outcome_clau,Impacte_clau,Hipòtesi_clau,Retorn_territorial_clau,Índex_capacitats_T0,Índex_capacitats_actual,Nous_clients,Inversió_captada_EUR,Ocupació_actual,Nota_traçabilitat
P01,Campus d’Emprenedoria Disruptiu,S01,ecoDoers,Sostenibilitat,Vilanova i la Geltrú,2022,3,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,49,67,1,100000,4,Nom real 2025; mètriques fictícies
P01,Campus d’Emprenedoria Disruptiu,S02,Vexr,Tecnologia,Catalunya,2023,4,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,53,71,2,150000,5,Nom real 2025; mètriques fictícies
P01,Campus d’Emprenedoria Disruptiu,S03,Blablap,Tecnologia,Vilanova i la Geltrú,2024,5,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,57,75,3,200000,6,Nom real 2025; mètriques fictícies
P01,Campus d’Emprenedoria Disruptiu,S04,TurismO Vivencial,Turisme,Catalunya,2025,6,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,61,79,4,250000,7,Nom real 2025; mètriques fictícies
P01,Campus d’Emprenedoria Disruptiu,S05,Qbiome,Salut / Biotech,Vilanova i la Geltrú,2021,7,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,65,83,0,50000,8,Nom real 2025; mètriques fictícies
P01,Campus d’Emprenedoria Disruptiu,S06,Vortx,Tecnologia,Catalunya,2022,2,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,69,87,1,100000,9,Nom real 2025; mètriques fictícies
P02,Network4Work,S07,BlueSkills Lab,Economia blava,Vilanova i la Geltrú,2023,3,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,48,66,2,150000,3,Startup i mètriques fictícies
P02,Network4Work,S08,MarData Connect,Tecnologia marítima,Catalunya,2024,4,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,52,70,3,200000,4,Startup i mètriques fictícies
P02,Network4Work,S09,OceanTalent,Talent / ocupació,Vilanova i la Geltrú,2025,5,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,56,74,4,250000,5,Startup i mètriques fictícies
P03,C4TALENT,S10,TalentLoop,Talent,Catalunya,2021,6,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,60,78,0,50000,6,Startup i mètriques fictícies
P03,C4TALENT,S11,LocalTech Hub,Tecnologia,Vilanova i la Geltrú,2022,7,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,64,82,1,100000,7,Startup i mètriques fictícies
P03,C4TALENT,S12,Return&Grow,Talent / emprenedoria,Catalunya,2023,2,Escalar model i mercat,Accés a recursos i xarxa,Participació/validació,"Nous clients, pilots o aliances","Consolidació, ocupació i creixement",La connexió amb ecosistema genera oportunitats,Ocupació / innovació / ecosistema,68,86,2,150000,8,Startup i mètriques fictícies
